Driver Surname,Driver Forename,driver_name,Average,Analyzed_races
Fangio,Juan,fangio,0.992707,16
Button,Jenson,button,0.99403,291
Ascari,Alberto,ascari,0.994388,11
Hamilton,Lewis,hamilton,0.994537,314
Villeneuve,Jacques,villeneuve,0.995221,154
Hunt,James,hunt,0.995442,9
Hill,Damon,damon_hill,0.99555,72
Prost,Alain,prost,0.995624,56
Surtees,John,surtees,0.995928,6
Rindt,Jochen,rindt,0.995971,4
Andretti,Mario,mario_andretti,0.996677,18
Hill,Graham,hill,0.997399,20
Senna,Ayrton,senna,0.99779,40
Clark,Jim,clark,0.998215,8
Rosberg,Nico,rosberg,0.998362,197
Verstappen,Max,max_verstappen,0.998456,168
Lauda,Niki,lauda,0.998517,37
Mansell,Nigel,mansell,0.998529,42
Schumacher,Michael,michael_schumacher,0.998615,237
Hill,Phil,phil_hill,0.99887,14
Alonso,Fernando,alonso,0.999616,350
Jones,Alan,jones,0.999743,18
Scheckter,Jody,scheckter,1.000694,18
Piquet,Nelson,piquet,1.000697,29
Rosberg,Keke,keke_rosberg,1.001174,11
Vettel,Sebastian,vettel,1.001338,286
Fittipaldi,Emerson,emerson_fittipaldi,1.001902,14
Stewart,Jackie,stewart,1.002202,22
Farina,Nino,farina,1.002902,16
Räikkönen,Kimi,raikkonen,1.003241,330
Hawthorn,Mike,hawthorn,1.003668,11
Hulme,Denny,hulme,1.003742,17
Häkkinen,Mika,hakkinen,1.005212,95
Brabham,Jack,jack_brabham,1.005552,26
