Driver Surname,Driver Forename,driver_name,Average,Analyzed_races
Button,Jenson,button,0.99403,291
Hamilton,Lewis,hamilton,0.994537,314
Villeneuve,Jacques,villeneuve,0.995221,154
Hill,Damon,damon_hill,0.99555,72
Prost,Alain,prost,0.995624,56
Senna,Ayrton,senna,0.99779,40
Rosberg,Nico,rosberg,0.998362,197
Verstappen,Max,max_verstappen,0.998456,168
Lauda,Niki,lauda,0.998517,37
Mansell,Nigel,mansell,0.998529,42
Schumacher,Michael,michael_schumacher,0.998615,237
Alonso,Fernando,alonso,0.999616,350
Vettel,Sebastian,vettel,1.001338,286
Räikkönen,Kimi,raikkonen,1.003241,330
Häkkinen,Mika,hakkinen,1.005212,95
