Driver Surname,Driver Forename,driver_name,Average,Analyzed_races
Senna,Ayrton,senna,0.973942,3
Hamilton,Lewis,hamilton,0.996443,321
Rosberg,Nico,rosberg,0.996592,202
Häkkinen,Mika,hakkinen,0.996851,61
Vettel,Sebastian,vettel,0.997656,292
Button,Jenson,button,0.998478,255
Räikkönen,Kimi,raikkonen,0.998578,309
Villeneuve,Jacques,villeneuve,0.998884,78
Hill,Damon,damon_hill,0.998979,57
Alonso,Fernando,alonso,0.999271,344
Verstappen,Max,max_verstappen,0.999359,170
Schumacher,Michael,michael_schumacher,0.999606,186
Mansell,Nigel,mansell,1.001216,6
