Driver Surname,Driver Forename,driver_name,Average,Analyzed_races
Verstappen,Max,max_verstappen,0.986605,168
Fangio,Juan,fangio,0.992707,16
Ascari,Alberto,ascari,0.994388,11
Schumacher,Michael,michael_schumacher,0.994495,237
Rosberg,Nico,rosberg,0.99522,197
Hunt,James,hunt,0.995442,9
Prost,Alain,prost,0.995445,56
Surtees,John,surtees,0.995928,6
Rindt,Jochen,rindt,0.995971,4
Hamilton,Lewis,hamilton,0.996009,314
Button,Jenson,button,0.996445,291
Andretti,Mario,mario_andretti,0.996677,18
Häkkinen,Mika,hakkinen,0.997343,95
Hill,Graham,hill,0.997399,20
Clark,Jim,clark,0.998215,8
Villeneuve,Jacques,villeneuve,0.998485,154
Lauda,Niki,lauda,0.998517,37
Mansell,Nigel,mansell,0.998529,42
Senna,Ayrton,senna,0.998864,40
Hill,Phil,phil_hill,0.99887,14
Räikkönen,Kimi,raikkonen,0.999296,330
Hill,Damon,damon_hill,0.9995,72
Alonso,Fernando,alonso,0.999537,350
Jones,Alan,jones,0.999743,18
Vettel,Sebastian,vettel,1.000014,286
Piquet,Nelson,piquet,1.000553,29
Scheckter,Jody,scheckter,1.000694,18
Rosberg,Keke,keke_rosberg,1.001174,11
Fittipaldi,Emerson,emerson_fittipaldi,1.001902,14
Stewart,Jackie,stewart,1.002202,22
Farina,Nino,farina,1.002902,16
Hawthorn,Mike,hawthorn,1.003668,11
Hulme,Denny,hulme,1.003742,17
Brabham,Jack,jack_brabham,1.005552,26
