Driver Surname,Driver Forename,driver_name,Average,Analyzed_races
Verstappen,Max,max_verstappen,0.986605,168
Schumacher,Michael,michael_schumacher,0.994495,237
Rosberg,Nico,rosberg,0.99522,197
Prost,Alain,prost,0.995445,56
Hamilton,Lewis,hamilton,0.996009,314
Button,Jenson,button,0.996445,291
Häkkinen,Mika,hakkinen,0.997343,95
Villeneuve,Jacques,villeneuve,0.998485,154
Lauda,Niki,lauda,0.998517,37
Mansell,Nigel,mansell,0.998529,42
Senna,Ayrton,senna,0.998864,40
Räikkönen,Kimi,raikkonen,0.999296,330
Hill,Damon,damon_hill,0.9995,72
Alonso,Fernando,alonso,0.999537,350
Vettel,Sebastian,vettel,1.000014,286
